Pool,River,Model,Test_RMSE,Test_MAE,Test_R2,Accuracy,F1_Score,N_Samples
DR,IL,xGBoost,1.4508107184490608,0.8653708319539825,0.035857088770659,0.9333333333333333,0.9655172413793104,96
LA,IL,xGBoost,2.2652515170655687,1.2131054822856426,0.003538521460744,0.49404761904761907,0.22727272727272727,2354
MA,IL,xGBoost,2.0302028567465245,1.177280037002431,0.17515303853804132,0.3333333333333333,0.4,236
PE,IL,LSTM,0.9952720811277782,0.7353471890805866,0.06766251968578076,0.5238095238095238,0.16666666666666669,1065
SR,IL,LSTM,1.7009742747193544,1.0136875871231583,0.034417863945911745,0.5964912280701754,0.634920634920635,479
12,UM,LSTM,3.150435588506397,1.5190222093506425,0.1105489954825895,0.9090909090909091,0.4444444444444445,446
13,UM,LSTM,2.1580714620763466,1.47638791664211,0.001625641491135657,0.6349206349206349,0.3893805309734514,1338
14,UM,LSTM,2.899103412947891,1.5580321904071777,0.005710066264331045,0.4625,0.556701030927835,613
15,UM,xGBoost,1.8974600214797208,1.321240684612521,0.7601344948325843,0.2857142857142857,0.16666666666666669,90
16,UM,LSTM,1.9717903045706138,1.1116250577045053,0.123229679227425,0.6964285714285714,0.6792452830188679,1211
17,UM,LSTM,1.4343775006296182,0.856413463960836,0.09411018382506592,0.6833333333333333,0.4242424242424242,479
18,UM,LSTM,1.9703256232996185,1.288020205672036,0.047483804839659464,0.5821596244131455,0.538860103626943,1546
19,UM,LSTM,1.4617560505354534,0.8340229234739087,0.10322218976603123,0.6506024096385542,0.6027397260273972,651
20,UM,xGBoost,2.9592606440813536,1.4797516722326929,0.20958407577869154,0.45454545454545453,0.42857142857142855,628
21,UM,LSTM,2.1194984509611836,1.5455191202348226,0.01844762400618541,0.7235294117647059,0.04081632653061224,1250
22,UM,LSTM,2.5491241384689363,1.3865429010649164,0.07926139049933456,0.4772727272727273,0.4177215189873418,1369
